id_cartorio,texto,estado,cidade,data
193,Processo de Usucapião Extrajudicial: Apartamento de 121m² passou de Silva e Filhos (84.751.026/0001-61) para Felipe Pinto (289.561.074-67).,PI,Picos,08/2023
276,Processo de Usucapião Extrajudicial: Terreno Rural de 35049m² passou de Castro (25.364.901/0001-93) para Oliveira Freitas - ME (82.436.107/0001-41).,MA,São Luís,11/2023
70,Processo de Usucapião Extrajudicial: Terreno Rural de 28034m² passou de Sra. Alexia da Rocha (570.986.124-30) para Ana Júlia Vasconcelos (745.108.326-80).,SC,Blumenau,02/2024
277,Casa (291m²) transferido de Ana Beatriz da Rocha (891.054.673-57) para Correia (36.897.024/0001-32) por meio de Usucapião Extrajudicial.,CE,Fortaleza,04/2024
166,Processo de Compra e Venda: Casa de 153m² passou de Ramos (15.286.497/0001-23) para Rezende (42.810.597/0001-80).,RJ,Niterói,10/2024
167,Terreno Rural de 17878m² transferido de Caio Moraes (204.317.695-16) para Barbosa (47.856.109/0001-99) via Compra e Venda.,MG,Belo Horizonte,02/2023
23,"Casa de 226m², Recuperação de Crédito realizado entre Carvalho - EI (95.328.417/001-94) e Liam Castro (572.091.648-20).",GO,Goiânia,05/2023
80,Processo de Usucapião Extrajudicial: Apartamento de @107m² passou de Costa - ME (96.821.547/0001-27) para Costa (28.390.761/0001-16).,RS,Pelotas,02/2025
307,Processo de Usucapião Extrajudicial: Casa de 81m²passou de José #Silva (841.653.709-75) para Fogaça (79.120.458/0001-34).   ,CE,Juazeiro do Norte,05/2024
94,"Apartamento de 218m², Compra e Venda realizado entre Julia Correia (524.873.910-14) e Marques - EI (39.684.215/0001-04).",SE,Lagarto,11/2024
128,Apartamento de 238m² transferido de Freitas (72.398.061/0001-60) para Fernandes Dias S/A (97.185.324/0001-83) via Recuperação de Crédito.,BA,Feira de Santana,01/2025
356,"Terreno Rural de 19974m², Usucapião Extrajudicial realizado entre Sales das Neves - ME (03.795.186/0001-00) e Nunes (54.927.103/0001-20).",MA,Imperatriz,02/2025
232,Apartamento (272m²) transferido de Juliana Alves (930.281.764-40) para José Miguel Lima (370.965.218-95) por meio de Recuperação de Crédito.,ES,Vitória,01/2024
335,"Apartamento de 105m², Compra e Venda realizado entre Rezende Ltda. (71.504.682/0001-18) e Costela (43.697.810/0001-51).",BA,Salvador,12/2023
